timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1511216845039,278,1 _NoAction,200,OK,Grupa wątków 1-1,text,true, SMOKE_TEST_PASSED,31267,449,3,3,274,0,157
1511216845144,296,1 _NoAction,200,OK,Grupa wątków 1-2,text,true, SMOKE_TEST_PASSED,31269,449,5,5,274,0,159
1511216845335,268,1 _NoAction,200,OK,Grupa wątków 1-4,text,true, SMOKE_TEST_PASSED,31267,449,6,6,250,0,153
1511216845237,312,1 _NoAction,200,OK,Grupa wątków 1-3,text,true, SMOKE_TEST_PASSED,31267,449,5,5,308,0,149
1511216845433,389,1 _NoAction,200,OK,Grupa wątków 1-5,text,true, SMOKE_TEST_PASSED,31269,449,8,8,385,0,225
1511216845736,360,1 _NoAction,200,OK,Grupa wątków 1-8,text,true, SMOKE_TEST_PASSED,31267,449,11,11,330,0,228
1511216845670,435,1 _NoAction,200,OK,Grupa wątków 1-6,text,true, SMOKE_TEST_PASSED,31267,449,11,11,409,0,278
1511216845800,337,1 _NoAction,200,OK,Grupa wątków 1-7,text,true, SMOKE_TEST_PASSED,31267,449,11,11,312,0,195
1511216845862,280,1 _NoAction,200,OK,Grupa wątków 1-9,text,true, SMOKE_TEST_PASSED,31267,449,11,11,275,0,151
1511216845987,287,1 _NoAction,200,OK,Grupa wątków 1-10,text,true, SMOKE_TEST_PASSED,31267,449,11,11,268,0,155
1511216846093,304,1 _NoAction,200,OK,Grupa wątków 1-11,text,true, SMOKE_TEST_PASSED,31267,449,13,13,280,0,160
1511216846324,293,1 _NoAction,200,OK,Grupa wątków 1-12,text,true, SMOKE_TEST_PASSED,31267,449,14,14,268,0,165
1511216846367,272,1 _NoAction,200,OK,Grupa wątków 1-13,text,true, SMOKE_TEST_PASSED,31267,449,14,14,246,0,132
1511216846609,301,1 _NoAction,200,OK,Grupa wątków 1-14,text,true, SMOKE_TEST_PASSED,31267,449,16,16,278,0,149
1511216846679,300,1 _NoAction,200,OK,Grupa wątków 1-15,text,true, SMOKE_TEST_PASSED,31267,449,16,16,276,0,153
1511216846814,290,1 _NoAction,200,OK,Grupa wątków 1-16,text,true, SMOKE_TEST_PASSED,31266,449,18,18,270,0,148
1511216847008,286,1 _NoAction,200,OK,Grupa wątków 1-17,text,true, SMOKE_TEST_PASSED,31267,449,19,19,263,0,134
1511216847082,291,1 _NoAction,200,OK,Grupa wątków 1-18,text,true, SMOKE_TEST_PASSED,31267,449,20,20,256,0,143
1511216847188,320,1 _NoAction,200,OK,Grupa wątków 1-19,text,true, SMOKE_TEST_PASSED,31267,449,21,21,297,0,177
1511216847301,288,1 _NoAction,200,OK,Grupa wątków 1-20,text,true, SMOKE_TEST_PASSED,31266,449,22,22,271,0,167
1511216847411,272,1 _NoAction,200,OK,Grupa wątków 1-21,text,true, SMOKE_TEST_PASSED,31267,449,23,23,248,0,147
1511216847538,260,1 _NoAction,200,OK,Grupa wątków 1-22,text,true, SMOKE_TEST_PASSED,31267,449,24,24,244,0,136
1511216847638,269,1 _NoAction,200,OK,Grupa wątków 1-23,text,true, SMOKE_TEST_PASSED,31269,449,25,25,246,0,147
1511216847764,300,1 _NoAction,200,OK,Grupa wątków 1-24,text,true, SMOKE_TEST_PASSED,31267,449,26,26,277,0,167
1511216847877,313,1 _NoAction,200,OK,Grupa wątków 1-25,text,true, SMOKE_TEST_PASSED,31267,449,27,27,292,0,160
1511216847997,263,1 _NoAction,200,OK,Grupa wątków 1-26,text,true, SMOKE_TEST_PASSED,31267,449,28,28,244,0,136
1511216848100,296,1 _NoAction,200,OK,Grupa wątków 1-27,text,true, SMOKE_TEST_PASSED,31267,449,29,29,274,0,143
1511216848239,281,1 _NoAction,200,OK,Grupa wątków 1-28,text,true, SMOKE_TEST_PASSED,31267,449,30,30,265,0,153
1511216848327,289,1 _NoAction,200,OK,Grupa wątków 1-29,text,true, SMOKE_TEST_PASSED,31267,449,30,30,268,0,155
1511216848446,279,1 _NoAction,200,OK,Grupa wątków 1-30,text,true, SMOKE_TEST_PASSED,31267,449,30,30,259,0,152
1511216860706,174,_pictureFromPage,200,OK,Grupa wątków 1-1,bin,true,,5517,484,30,30,174,0,155
1511216868565,188,_pictureFromPage,200,OK,Grupa wątków 1-2,bin,true,,5517,484,30,30,188,0,165
1511216876698,158,_pictureFromPage,200,OK,Grupa wątków 1-4,bin,true,,5517,484,30,30,158,0,135
