Etykieta,# Liczba próbek,Średnia,Minimum,Maksimum,Odch. std.,% błędów,Przepustowość,KB/sek,Wysłano KB/sek,bitów średnio
Thread ONET.PL:1 /,300,2160,217,21261,"4531,32","5,333%","5,64897","877,55","7,22","159074,7"
Thread ONET.PL:3 /success.txt,150,136,15,912,"106,71","0,000%","2,85867","1,07","0,85","384,0"
Thread ONET.PL:4 /success.txt,150,90,14,1048,"100,87","0,000%","2,86036","1,07","0,85","384,0"
Thread ONET.PL:5 /success.txt,150,70,13,302,"43,88","0,000%","2,86074","1,07","0,85","384,0"
Thread ONET.PL:6 /success.txt,150,75,12,281,"44,01","0,000%","2,86112","1,07","0,85","384,0"
Thread ONET.PL:7 /success.txt,150,72,12,229,"36,29","0,000%","2,86118","1,07","0,85","384,0"
Thread ONET.PL:8 /success.txt,150,78,13,424,"53,46","0,000%","2,86134","1,07","0,86","384,0"
Thread ONET.PL:9 /success.txt,50,83,22,436,"61,11","0,000%","5,75506","2,16","1,72","384,0"
Thread ONET.PL:10 /,100,850,167,2909,"541,26","0,000%","9,51203","1558,36","11,86","167762,0"
Thread ONET.PL:12 /success.txt,100,80,12,263,"53,04","0,000%","1,91080","0,72","0,57","384,0"
Thread ONET.PL:13 /success.txt,100,80,13,367,"67,48","0,000%","1,91139","0,72","0,57","384,0"
Thread ONET.PL:14 /success.txt,100,73,13,427,"56,06","0,000%","1,91175","0,72","0,57","384,0"
Thread ONET.PL:15 /success.txt,100,81,14,359,"62,26","0,000%","1,91274","0,72","0,57","384,0"
Thread ONET.PL:16 /success.txt,50,84,22,421,"62,41","0,000%","4,94903","1,86","1,48","384,0"
Thread ONET.PL:17 /success.txt,50,94,27,434,"76,53","0,000%","4,90340","1,84","1,47","384,0"
Thread ONET.PL:18 /,100,1097,183,4882,"725,18","0,000%","9,03016","1479,41","11,26","167762,0"
Thread ONET.PL:20 /success.txt,100,159,12,3368,"443,80","0,000%","1,91699","0,72","0,57","384,0"
Thread ONET.PL:21 /success.txt,100,70,12,216,"39,05","0,000%","1,91810","0,72","0,57","384,0"
Thread ONET.PL:23 /success.txt,50,81,27,200,"38,50","0,000%","4,73440","1,78","1,41","384,0"
Thread ONET.PL:22 /success.txt,100,72,14,463,"58,57","0,000%","1,92031","0,72","0,57","384,0"
Thread ONET.PL:24 /success.txt,50,92,30,346,"50,05","0,000%","4,69616","1,76","1,40","384,0"
Thread ONET.PL:25 /success.txt,100,84,13,342,"62,19","0,000%","1,82525","0,68","0,55","384,0"
Thread ONET.PL:26 /,100,1918,194,21230,"3978,60","4,000%","3,32060","522,71","4,09","161193,2"
Thread ONET.PL:28 /success.txt,100,102,13,487,"101,53","0,000%","1,83130","0,69","0,55","384,0"
Thread ONET.PL:29 /success.txt,100,68,13,330,"50,67","0,000%","1,83261","0,69","0,55","384,0"
Thread ONET.PL:30 /success.txt,100,68,12,274,"51,56","0,000%","1,83409","0,69","0,55","384,0"
Thread ONET.PL:31 /success.txt,100,70,12,354,"51,97","0,000%","1,83560","0,69","0,55","384,0"
Thread ONET.PL:32 /success.txt,50,90,16,206,"39,79","0,000%","1,68748","0,63","0,50","384,0"
Thread ONET.PL:33 /success.txt,50,91,13,242,"38,55","0,000%","1,68816","0,63","0,50","384,0"
Thread ONET.PL:9 /,100,2462,108,21291,"5518,68","8,000%","2,01894","304,54","2,16","154464,3"
Thread ONET.PL:11 /success.txt,50,109,15,394,"89,27","0,000%","1,01835","0,38","0,30","384,0"
Thread ONET.PL:16 /,100,2799,99,21242,"6116,01","10,000%","2,06207","304,47","2,19","151194,0"
Thread ONET.PL:18 /success.txt,50,75,15,318,"58,30","0,000%","1,05394","0,40","0,31","384,0"
Thread ONET.PL:19 /success.txt,50,62,13,332,"61,88","0,000%","1,05510","0,40","0,32","384,0"
Thread ONET.PL:23 /,100,2726,90,21262,"6136,54","10,000%","2,00590","296,95","2,73","151592,2"
Thread ONET.PL:26 /success.txt,50,49,13,146,"36,53","0,000%","1,02275","0,38","0,31","384,0"
Thread ONET.PL:27 /success.txt,50,49,12,244,"41,37","0,000%","1,02619","0,38","0,31","384,0"
Thread ONET.PL:HTTP Request,50,2225,357,21161,"4810,48","6,000%",",72189","390,76","0,16","554301,2"
RAZEM,3650,595,12,21291,"2490,14","1,397%","47,17164","2169,16","24,86","47088,0"
