Etykieta,# Liczba próbek,Średnia,Minimum,Maksimum,Odch. std.,% błędów,Przepustowość,KB/sek,Wysłano KB/sek,bitów średnio
1 /,300,1174,65,21117,"1753,43","0,667%","9,67056","1574,54","12,52","166725,3"
3 /success.txt,150,187,15,3325,"285,52","0,000%","4,91787","1,84","1,47","384,0"
4 /success.txt,150,111,12,468,"91,69","0,000%","4,92255","1,85","1,47","384,0"
5 /success.txt,150,92,12,477,"65,81","0,000%","4,92045","1,85","1,47","384,0"
6 /success.txt,150,86,13,333,"56,56","0,000%","4,91981","1,84","1,47","384,0"
7 /success.txt,150,92,12,733,"83,78","0,000%","4,91948","1,84","1,47","384,0"
8 /success.txt,150,90,12,340,"61,23","0,000%","4,91417","1,84","1,47","384,0"
9 /success.txt,50,91,15,533,"81,88","0,000%","7,69941","2,89","2,30","384,0"
10 /,100,970,71,2547,"668,99","0,000%","11,03387","1807,61","13,76","167755,0"
12 /success.txt,100,125,12,774,"105,70","0,000%","3,27311","1,23","0,98","384,0"
13 /success.txt,100,106,13,975,"113,59","0,000%","3,27514","1,23","0,98","384,0"
14 /success.txt,100,92,13,302,"58,65","0,000%","3,27268","1,23","0,98","384,0"
15 /success.txt,100,91,14,785,"96,67","0,000%","3,27375","1,23","0,98","384,0"
16 /success.txt,50,73,16,340,"55,27","0,000%","5,72803","2,15","1,71","384,0"
17 /success.txt,50,91,15,410,"84,65","0,000%","5,69476","2,14","1,70","384,0"
18 /,100,1443,71,21169,"2874,78","2,000%","3,42888","550,73","4,25","164470,7"
20 /success.txt,50,146,24,380,"82,95","0,000%","1,72473","0,65","0,52","384,0"
21 /success.txt,50,115,15,468,"86,05","0,000%","1,72503","0,65","0,52","384,0"
23 /success.txt,50,104,19,338,"65,32","0,000%","1,72479","0,65","0,52","384,0"
22 /success.txt,50,114,12,349,"77,54","0,000%","1,72843","0,65","0,52","384,0"
24 /success.txt,50,88,14,202,"51,81","0,000%","1,72831","0,65","0,52","384,0"
25 /success.txt,50,97,15,402,"68,75","0,000%","1,72729","0,65","0,52","384,0"
26 /,100,1849,66,21186,"3980,52","4,000%","3,42091","538,48","4,22","161186,5"
28 /success.txt,50,137,13,328,"89,03","0,000%","1,73376","0,65","0,52","384,0"
29 /success.txt,50,105,13,313,"61,07","0,000%","1,73557","0,65","0,52","384,0"
30 /success.txt,50,98,14,293,"55,97","0,000%","1,73623","0,65","0,52","384,0"
31 /success.txt,50,167,14,3323,"455,63","0,000%","1,73780","0,65","0,52","384,0"
32 /success.txt,50,92,13,295,"54,15","0,000%","1,74161","0,65","0,52","384,0"
33 /success.txt,50,114,13,1007,"141,00","0,000%","1,74265","0,65","0,52","384,0"
9 /,100,897,108,2473,"515,08","0,000%","3,55492","581,71","3,90","167563,0"
11 /success.txt,50,152,15,1023,"153,61","0,000%","1,82083","0,68","0,54","384,0"
HTTP Request,50,1317,369,3768,"650,27","0,000%","1,81127","1042,72","0,40","589502,0"
RAZEM,2850,408,12,21186,"1219,49","0,281%","89,64801","4497,04","47,46","51367,2"
